1;Pulse;44;725536;725092;1
2;Picture;Baseline;725587;0;2
3;Sound;D2_3Int;845367;0;1
4;Sound;D4_3Int;885273;0;2
5;Sound;D5_1Int;924967;0;1
6;Sound;D4_1Int;964760;0;1
7;Sound;D5_2Int;1004567;0;1
8;Sound;D4_3Int;1044167;0;1
9;Sound;D3_2Int;1084073;0;1
10;Picture;Rest;1123243;0;1
11;Sound;D2_2Int;1163559;0;1
12;Picture;Rest;1202808;0;1
13;Sound;D5_3Int;1243059;0;1
14;Sound;D4_2Int;1282844;0;1
15;Sound;D3_0Int;1322545;0;1
16;Picture;Rest;1361770;0;1
17;Sound;D5_2Int;1402152;0;1
18;Picture;Rest;1441334;0;2
19;Sound;D4_2Int;1481659;0;1
20;Sound;D5_1Int;1521352;0;1
21;Sound;D2_1Int;1561145;0;1
22;Picture;Rest;1600297;0;1
23;Sound;D3_1Int;1640551;0;1
24;Sound;D1_3Int;1680458;0;1
25;Sound;D5_2Int;1720151;0;1
26;Picture;Rest;1759426;0;1
27;Sound;D3_2Int;1799731;0;1
28;Sound;D1_2Int;1839444;0;1
29;Picture;Rest;1878689;0;1
30;Sound;D3_1Int;1918951;0;1
31;Picture;Rest;1958087;0;1
32;Sound;D1_2Int;1998428;0;2
33;Sound;D2_2Int;2038243;0;1
34;Sound;D5_1Int;2078028;0;1
35;Sound;D1_2Int;2117729;0;2
36;Picture;Rest;2156915;0;1
37;Sound;D5_1Int;2197243;0;1
38;Sound;D1_1Int;2236937;0;1
39;Sound;D2_0Int;2276843;0;1
40;Sound;D4_3Int;2316516;0;1
41;Picture;Rest;2355743;0;1
42;Sound;D1_2Int;2396015;0;1
43;Sound;D3_1Int;2435829;0;1
44;Sound;D5_0Int;2475614;0;1
45;Sound;D3_1Int;2515336;0;1
46;Sound;D4_3Int;2555122;0;1
47;Sound;D2_3Int;2594814;0;1
48;Sound;D1_2Int;2634629;0;1
49;Sound;D3_2Int;2674322;0;1
50;Sound;D5_2Int;2714136;0;1
51;Picture;Rest;2753232;0;1
52;Sound;D3_0Int;2793613;0;1
53;Sound;D4_0Int;2833407;0;1
54;Sound;D2_1Int;2873121;0;1
55;Sound;D4_1Int;2912906;0;1
56;Sound;D2_3Int;2952720;0;1
57;Sound;D5_2Int;2992412;0;1
59;Sound;D3_3Int;3071999;0;1
60;Sound;D2_1Int;3111701;0;1
61;Sound;D1_1Int;3151507;0;1
62;Sound;D2_1Int;3191199;0;1
63;Sound;D4_1Int;3231013;0;1
64;Picture;Rest;3270151;0;1
65;Sound;D3_2Int;3310491;0;1
66;Picture;Rest;3349715;0;1
67;Sound;D2_1Int;3389998;0;1
68;Sound;D3_2Int;3429793;0;1
69;Sound;D5_1Int;3469506;0;1
70;Sound;D1_2Int;3509291;0;1
71;Picture;Rest;3548543;0;1
72;Sound;D4_2Int;3588797;0;1
73;Sound;D3_3Int;3628592;0;1
74;Sound;D5_0Int;3668305;0;1
75;Sound;D1_0Int;3708090;0;1
76;Picture;Rest;3747204;0;1
77;Sound;D4_2Int;3787578;0;1
78;Picture;Rest;3826769;0;1
79;Sound;D3_1Int;3867092;0;1
80;Sound;D5_2Int;3906877;0;1
81;Sound;D1_3Int;3946692;0;1
82;Sound;D2_1Int;3986383;0;1
83;Sound;D1_1Int;4026178;0;1
84;Sound;D2_1Int;4065891;0;1
85;Sound;D1_1Int;4105676;0;1
86;Sound;D4_1Int;4145491;0;1
87;Picture;Rest;4184559;0;1
88;Sound;D5_2Int;4224977;0;1
89;Picture;Rest;4264123;0;1
90;Sound;D1_2Int;4304475;0;1
91;Sound;D5_3Int;4344170;0;1
92;Picture;Rest;4383387;0;1
93;Sound;D2_1Int;4423770;0;1
94;Picture;Rest;4462951;0;1
95;Sound;D1_2Int;4503274;0;1
96;Sound;D3_0Int;4542969;0;1
97;Sound;D2_1Int;4582763;0;1
98;Sound;D3_1Int;4622569;0;1
99;Sound;D2_1Int;4662276;0;1
100;Sound;D3_1Int;4702061;0;1
101;Sound;D1_2Int;4741763;0;1
102;Sound;D3_1Int;4781567;0;1
103;Sound;D2_2Int;4821362;0;1
104;Picture;Rest;4860440;0;1
105;Sound;D4_2Int;4900860;0;1
106;Sound;D1_2Int;4940555;0;1
107;Sound;D5_2Int;4980348;0;1
108;Sound;D3_1Int;5020155;0;1
109;Sound;D5_2Int;5059852;0;1
110;Sound;D4_1Int;5099659;0;1
111;Sound;D1_1Int;5139355;0;1
112;Sound;D3_1Int;5179147;0;1
113;Sound;D2_2Int;5218859;0;1
114;Sound;D3_2Int;5258650;0;1
115;Picture;Rest;5297795;0;1
116;Sound;D4_2Int;5338154;0;1
117;Sound;D3_2Int;5377947;0;1
118;Picture;Rest;5417058;0;1
119;Sound;D4_1Int;5457437;0;1
120;Sound;D1_1Int;5497246;0;1
121;Sound;D4_3Int;5536941;0;1
122;Sound;D1_1Int;5576734;0;1
123;Picture;Rest;5615886;0;1
124;Sound;D5_1Int;5656236;0;1
125;Sound;D4_1Int;5696044;0;1
126;Picture;Rest;5735149;0;1
127;Sound;D2_0Int;5775533;0;1
128;Sound;D5_3Int;5815244;0;1
129;Picture;Rest;5854413;0;1
130;Sound;D2_1Int;5894825;0;1
131;Sound;D4_2Int;5934539;0;1
132;Sound;D5_2Int;5974332;0;1
133;Sound;D4_2Int;6014025;0;1
134;Sound;D3_0Int;6053835;0;1
135;Sound;D5_1Int;6093532;0;1
136;Sound;D2_0Int;6133338;0;1
137;Picture;Rest;6172504;0;1
138;Sound;D1_1Int;6212824;0;1
139;Picture;Rest;6252068;0;1
140;Sound;D2_2Int;6292430;0;1
141;Sound;D3_1Int;6332125;0;1
142;Sound;D5_3Int;6371918;0;1
143;Sound;D4_0Int;6411629;0;1
144;Picture;Rest;6450896;0;1
145;Sound;D1_1Int;6491117;0;1
146;Sound;D2_3Int;6530924;0;1
147;Picture;Rest;6570159;0;2
148;Sound;D5_1Int;6610410;0;1
149;Sound;D1_1Int;6650220;0;1
150;Sound;D4_0Int;6689917;0;1
151;Sound;D2_1Int;6729724;0;1
152;Sound;D4_2Int;6769516;0;1
153;Picture;Rest;6808686;0;1
153;Pulse;44;7007371;198685;1